car_id,brand,year,mileage_km,fuel_type,transmission,engine_size,condition,price
1,Honda,2006,249468,diesel,manual,3.06,poor,8250.66
2,Kia,2020,126102,electric,automatic,1.82,good,42166.86
3,Honda,2006,65560,diesel,automatic,2.65,poor,20715.12
4,Toyota,2020,168714,diesel,automatic,2.14,good,48034.98
5,BMW,2010,195083,hybrid,manual,1.4,good,48217.73
6,Honda,2023,30257,electric,automatic,1.25,good,62069.79
7,Honda,2023,130789,petrol,manual,3.23,excellent,65797.63
8,Hyundai,2007,239551,petrol,manual,1.52,good,18859.32
9,Hyundai,2017,105037,electric,manual,4.97,good,42329.29
10,Honda,2011,268560,hybrid,automatic,2.95,excellent,29669.61
11,Toyota,2017,209300,hybrid,automatic,3.26,poor,24635.25
12,Mercedes,2022,118335,hybrid,automatic,2.6,good,64915.61
13,BMW,2013,296614,hybrid,manual,4.19,poor,21895.08
14,Honda,2017,193460,petrol,automatic,3.12,good,37099.84
15,Toyota,2018,154010,petrol,automatic,3.83,fair,35886.79
16,Hyundai,2016,147710,petrol,automatic,4.16,fair,25840.42
17,Toyota,2021,94499,diesel,manual,1.72,fair,42043.9
18,Toyota,2011,116159,electric,automatic,1.7,excellent,47968.52
19,Mercedes,2012,269265,diesel,automatic,4.18,poor,25017.59
20,Honda,2016,211415,electric,manual,4.2,excellent,49856.09
21,Mercedes,2024,276564,hybrid,automatic,4.6,poor,36564.27
22,Hyundai,2007,234480,hybrid,manual,1.67,poor,12817.58
23,Hyundai,2008,291533,petrol,automatic,1.15,fair,12483.88
24,Kia,2018,142088,electric,manual,1.57,poor,18974.19
25,Honda,2019,207906,hybrid,manual,3.48,fair,30089.32
26,Mercedes,2014,52546,electric,manual,1.9,poor,35731.3
27,Honda,2009,165652,hybrid,manual,3.98,fair,30350.31
28,Toyota,2021,241272,diesel,manual,4.81,excellent,47862.33
29,Kia,2005,78886,diesel,manual,3.06,excellent,33361.87
30,Toyota,2014,77428,hybrid,manual,4.83,poor,24234.87
31,Chevrolet,2019,166969,hybrid,automatic,3.65,good,36234.65
32,Toyota,2015,156806,hybrid,manual,2.58,good,43703.16
33,Honda,2016,226607,electric,manual,4.0,excellent,53323.48
34,Honda,2009,257654,petrol,manual,1.91,poor,10582.46
35,BMW,2009,167247,electric,manual,4.79,poor,23816.95
36,Kia,2009,177442,electric,automatic,1.34,poor,12524.6
