car_id,brand,year,mileage_km,fuel_type,transmission,engine_size,condition,price,sale_date,sale_year,sale_month,sale_day,sale_dayofweek,sale_quarter
1,Honda,2006,249468,diesel,manual,3.06,poor,8250.66,2020-07-05 10:31:21.081081,2020,7,5,6,3
2,Kia,2020,126102,electric,automatic,1.82,good,42166.86,2022-03-06 02:31:21.081081,2022,3,6,6,1
3,Honda,2006,65560,diesel,automatic,2.65,poor,20715.12,2024-04-20 22:21:58.918918,2024,4,20,5,2
4,Toyota,2020,168714,diesel,automatic,2.14,good,48034.98,2021-05-08 12:19:27.567567,2021,5,8,5,2
5,Bmw,2010,195083,hybrid,manual,1.4,good,48217.73,2020-07-12 17:59:38.378378,2020,7,12,6,3
6,Honda,2023,30257,electric,automatic,1.25,good,62069.79,2020-05-09 18:37:07.027027,2020,5,9,5,2
7,Honda,2023,130789,petrol,manual,3.23,excellent,65797.63,2023-07-03 11:30:27.027027,2023,7,3,0,3
8,Hyundai,2007,239551,petrol,manual,1.52,good,18859.32,2020-02-06 13:21:26.486486,2020,2,6,3,1
9,Hyundai,2017,105037,electric,manual,4.97,good,42329.29,2023-01-27 06:52:15.135135,2023,1,27,4,1
10,Honda,2011,268560,hybrid,automatic,2.95,excellent,29669.61,2020-08-09 04:00:43.243243,2020,8,9,6,3
11,Toyota,2017,209300,hybrid,automatic,3.26,poor,24635.25,2022-05-01 18:25:35.135135,2022,5,1,6,2
12,Mercedes,2022,118335,hybrid,automatic,2.6,good,64915.61,2021-01-26 03:43:25.405405,2021,1,26,1,1
13,Bmw,2013,296614,hybrid,manual,4.19,poor,21895.08,2021-08-26 04:23:47.027027,2021,8,26,3,3
14,Honda,2017,193460,petrol,automatic,3.12,good,37099.84,2022-04-17 03:29:00.540540,2022,4,17,6,2
15,Toyota,2018,154010,petrol,automatic,3.83,fair,35886.79,2020-06-08 00:30:16.216216,2020,6,8,0,2
16,Hyundai,2016,147710,petrol,automatic,4.16,fair,25840.42,2021-11-10 22:50:48.648648,2021,11,10,2,4
17,Toyota,2021,94499,diesel,manual,1.72,fair,42043.9,2020-06-29 22:55:08.108108,2020,6,29,0,2
18,Toyota,2011,116159,electric,automatic,1.7,excellent,47968.52,2024-05-11 00:54:46.486486,2024,5,11,5,2
19,Mercedes,2012,269265,diesel,automatic,4.18,poor,25017.59,2023-04-26 20:23:47.027027,2023,4,26,2,2
20,Honda,2016,211415,electric,manual,4.2,excellent,49856.09,2020-08-25 14:49:22.162162,2020,8,25,1,3
21,Mercedes,2024,276564,hybrid,automatic,4.6,poor,36564.27,2023-04-23 04:39:38.378378,2023,4,23,6,2
22,Hyundai,2007,234480,hybrid,manual,1.67,poor,12817.58,2021-07-16 23:18:11.891891,2021,7,16,4,3
23,Hyundai,2008,291533,petrol,automatic,1.15,fair,12483.88,2023-11-06 14:23:25.405405,2023,11,6,0,4
24,Kia,2018,142088,electric,manual,1.57,poor,18974.19,2021-09-18 22:40:43.243243,2021,9,18,5,3
25,Honda,2019,207906,hybrid,manual,3.48,fair,30089.32,2022-06-16 11:07:23.243243,2022,6,16,3,2
26,Mercedes,2014,52546,electric,manual,1.9,poor,35731.3,2022-01-24 21:25:45.945945,2022,1,24,0,1
27,Honda,2009,165652,hybrid,manual,3.98,fair,30350.31,2024-01-11 09:38:01.081081,2024,1,11,3,1
28,Toyota,2021,241272,diesel,manual,4.81,excellent,47862.33,2021-12-04 17:07:44.864864,2021,12,4,5,4
29,Kia,2005,78886,diesel,manual,3.06,excellent,33361.87,2020-12-15 02:45:45.945945,2020,12,15,1,4
30,Toyota,2014,77428,hybrid,manual,4.83,poor,24234.87,2024-10-11 13:48:49.729729,2024,10,11,4,4
31,Chevrolet,2019,166969,hybrid,automatic,3.65,good,36234.65,2021-05-19 11:31:53.513513,2021,5,19,2,2
32,Toyota,2015,156806,hybrid,manual,2.58,good,43703.16,2020-10-19 10:51:31.891891,2020,10,19,0,4
33,Honda,2016,226607,electric,manual,4.0,excellent,53323.48,2022-04-18 23:21:04.864864,2022,4,18,0,2
34,Honda,2009,257654,petrol,manual,1.91,poor,10582.46,2021-07-26 02:38:33.513513,2021,7,26,0,3
35,Bmw,2009,167247,electric,manual,4.79,poor,23816.95,2020-02-08 09:13:30.810810,2020,2,8,5,1
36,Kia,2009,177442,electric,automatic,1.34,poor,12524.6,2021-04-05 14:42:09.729729,2021,4,5,0,2
37,Hyundai,2020,116809,diesel,automatic,4.37,fair,38457.33,2023-09-27 09:17:50.270270,2023,9,27,2,3
38,Mercedes,2024,94005,diesel,manual,4.84,good,75000.0,2024-04-13 14:53:41.621621,2024,4,13,5,2
39,Mercedes,2017,149753,hybrid,manual,4.76,good,61222.8,2022-10-20 14:00:21.621621,2022,10,20,3,4
40,Hyundai,2024,115291,diesel,automatic,1.14,excellent,65063.72,2022-05-16 09:22:09.729729,2022,5,16,0,2
41,Kia,2017,51152,electric,automatic,3.85,poor,26326.12,2020-04-16 00:20:10.810810,2020,4,16,3,2
42,Hyundai,2019,188189,hybrid,manual,3.61,excellent,48922.51,2022-07-21 04:36:45.405405,2022,7,21,3,3
43,Mercedes,2024,262280,petrol,manual,1.07,excellent,66411.3,2023-05-29 18:01:04.864864,2023,5,29,0,2
44,Mercedes,2019,185535,diesel,automatic,3.23,good,50884.13,2022-05-18 05:14:14.054054,2022,5,18,2,2
45,Toyota,2005,18760,electric,manual,3.22,fair,25298.69,2023-07-01 15:38:22.702702,2023,7,1,5,3
46,Bmw,2011,114577,hybrid,automatic,3.28,excellent,48442.86,2024-11-17 03:10:16.216216,2024,11,17,6,4
47,Bmw,2017,198519,electric,manual,3.1,excellent,55819.95,2023-11-30 08:40:21.621621,2023,11,30,3,4
